"Species","SASAP.Region","YEAR","median_wgt","p05_wgt","p95_wgt"
"chinook","Kotzebue",1986,16.4059405940594,16.4059405940594,16.4059405940594
"chinook","Kotzebue",1987,13.7857142857143,13.7857142857143,13.7857142857143
"chinook","Kotzebue",1988,13.9473684210526,13.9473684210526,13.9473684210526
"chinook","Kotzebue",1989,16.3908045977011,16.3908045977011,16.3908045977011
"chinook","Kotzebue",1990,16.78125,16.78125,16.78125
"chinook","Kotzebue",1991,16.2272727272727,16.2272727272727,16.2272727272727
"chinook","Kotzebue",1992,13.3415841584158,13.3415841584158,13.3415841584158
"chinook","Kotzebue",1993,17.5818181818182,17.5818181818182,17.5818181818182
"chinook","Kotzebue",1994,18.25,18.25,18.25
"chinook","Kuskokwim",1975,18.2916658508724,17.7056918342148,18.87763986753
"chinook","Kuskokwim",1976,17.635739044016,17.1211152116103,18.1503628764217
"chinook","Kuskokwim",1977,23.0649461527303,22.9144502280326,23.215442077428
"chinook","Kuskokwim",1978,24.2314154825685,24.2314154825685,24.2314154825685
"chinook","Kuskokwim",1979,18.6365816089282,18.2952758079516,18.9778874099047
"chinook","Kuskokwim",1980,16.5965427937187,16.5965427937187,16.5965427937187
"chinook","Kuskokwim",1981,17.6817442402996,17.6817442402996,17.6817442402996
"chinook","Kuskokwim",1982,19.3331281104099,19.3331281104099,19.3331281104099
"chinook","Kuskokwim",1983,18.3890979304882,18.3890979304882,18.3890979304882
"chinook","Kuskokwim",1984,16.3770156926407,16.3770156926407,16.3770156926407
"chinook","Kuskokwim",1985,16.9667161961367,16.9667161961367,16.9667161961367
"chinook","Kuskokwim",1986,16.9539258633341,16.9539258633341,16.9539258633341
"chinook","Kuskokwim",1987,15.1643534975735,15.1643534975735,15.1643534975735
"chinook","Kuskokwim",1988,14.1434357523168,14.1434357523168,14.1434357523168
"chinook","Kuskokwim",1989,16.5751109644914,16.5751109644914,16.5751109644914
"chinook","Kuskokwim",1990,15.1113621230857,15.1113621230857,15.1113621230857
"chinook","Kuskokwim",1991,15.5331350980433,15.5331350980433,15.5331350980433
"chinook","Kuskokwim",1992,13.4150055658627,13.4150055658627,13.4150055658627
"chinook","Kuskokwim",1993,14.3052172605623,14.3052172605623,14.3052172605623
"chinook","Kuskokwim",1994,15.5907162191821,15.5907162191821,15.5907162191821
"chinook","Kuskokwim",1995,17.3305487100233,17.3305487100233,17.3305487100233
"chinook","Kuskokwim",1996,15.7124961130114,15.7124961130114,15.7124961130114
"chinook","Kuskokwim",1997,16.1996372884182,16.1996372884182,16.1996372884182
"chinook","Kuskokwim",1998,14.2317426540499,14.2317426540499,14.2317426540499
"chinook","Kuskokwim",1999,15.4841006359746,15.4841006359746,15.4841006359746
"chinook","Kuskokwim",2000,15.6023750239418,15.6023750239418,15.6023750239418
"chinook","Kuskokwim",2001,20.0367074527252,20.0367074527252,20.0367074527252
"chinook","Kuskokwim",2002,13.9045226130653,13.9045226130653,13.9045226130653
"chinook","Kuskokwim",2003,13.5876108405146,13.5876108405146,13.5876108405146
"chinook","Kuskokwim",2004,12.8407476155539,12.1558885546588,13.525606676449
"chinook","Kuskokwim",2005,14.5483059051307,14.5483059051307,14.5483059051307
"chinook","Kuskokwim",2008,12.86250888861,12.86250888861,12.86250888861
"chinook","Kuskokwim",2009,13.1414132257626,13.1414132257626,13.1414132257626
"chinook","Kuskokwim",2010,13.1015491452991,13.1015491452991,13.1015491452991
"chinook","Norton Sound",1975,10.9033687943262,10.9033687943262,10.9033687943262
"chinook","Norton Sound",1976,15.4314049586777,15.4314049586777,15.4314049586777
"chinook","Norton Sound",1977,22.852265119393,22.852265119393,22.852265119393
"chinook","Norton Sound",1978,22.2929414117177,22.2929414117177,22.2929414117177
"chinook","Norton Sound",1979,21.465811965812,21.465811965812,21.465811965812
"chinook","Norton Sound",1980,21.4561847516609,21.4561847516609,21.4561847516609
"chinook","Norton Sound",1981,20.722095959596,20.722095959596,20.722095959596
"chinook","Norton Sound",1982,16.4573129251701,16.4573129251701,16.4573129251701
"chinook","Norton Sound",1983,17.4296109440186,17.4296109440186,17.4296109440186
"chinook","Norton Sound",1984,20.0004730928445,20.0004730928445,20.0004730928445
"chinook","Norton Sound",1985,21.5161787365177,21.5161787365177,21.5161787365177
"chinook","Norton Sound",1986,20.8281421192675,20.8281421192675,20.8281421192675
"chinook","Norton Sound",1987,19.986717535679,19.986717535679,19.986717535679
"chinook","Norton Sound",1988,16.3764388929709,16.3764388929709,16.3764388929709
"chinook","Norton Sound",1989,18.3684487291849,18.3684487291849,18.3684487291849
"chinook","Norton Sound",1990,18.9707700955593,18.9707700955593,18.9707700955593
"chinook","Norton Sound",1991,17.7226433750824,17.7226433750824,17.7226433750824
"chinook","Norton Sound",1993,16.8838479545201,16.8838479545201,16.8838479545201
"chinook","Norton Sound",1994,18.6361400189215,18.6361400189215,18.6361400189215
"chinook","Norton Sound",1995,19.7258465011287,19.7258465011287,19.7258465011287
"chinook","Norton Sound",1996,19.2320464092819,19.2320464092819,19.2320464092819
"chinook","Norton Sound",1997,17.9242665816327,17.9242665816327,17.9242665816327
"chinook","Norton Sound",1998,17.20732364028,17.20732364028,17.20732364028
"chinook","Norton Sound",1999,19.3066188197767,19.3066188197767,19.3066188197767
"chinook","Prince William Sound",1975,10.6009615384615,8.96247004108651,11.124213800905
"chinook","Prince William Sound",1976,12.0517928286853,9.85931151427349,13.6594046349812
